sbd,don_vi,truong,mon,diem,giai
02.01.06,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,20.500,Ba
02.01.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,17.500,K.Khích
02.01.08,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,14.500,K.Khích
02.01.10,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,15.500,K.Khích
02.01.11,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,17.000,K.Khích
02.01.13,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,15.000,K.Khích
02.01.15,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,20.500,Ba
02.01.17,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,14.000,K.Khích
02.01.18,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,16.500,K.Khích
02.01.20,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,24.000,Nhì
02.01.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Toán,14.500,K.Khích
02.01.14,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Toán,14.500,K.Khích
02.01.16,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Toán,14.000,K.Khích
02.01.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Toán,16.500,K.Khích
02.01.12,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Toán,17.500,K.Khích
02.01.02,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Toán,14.000,K.Khích
02.01.03,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Toán,25.500,Nhì
02.01.05,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Toán,25.000,Nhì
02.02.01,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,25.000,Nhì
02.02.02,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,24.250,Nhì
02.02.03,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,21.500,Nhì
02.02.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,21.500,Nhì
02.02.12,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,14.250,K.Khích
02.02.13,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,16.500,Ba
02.02.18,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,18.500,Ba
02.02.20,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,13.000,K.Khích
02.02.11,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT Phan Châu Trinh,Vật lí,12.750,K.Khích
02.02.05,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Vật lí,13.500,K.Khích
02.02.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Vật lí,13.250,K.Khích
02.02.08,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Vật lí,11.500,K.Khích
02.02.10,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Vật lí,12.250,K.Khích
02.02.19,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Vật lí,13.750,K.Khích
02.02.14,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Vật lí,12.500,K.Khích
02.02.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Vật lí,18.750,Nhì
02.02.16,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Vật lí,16.250,Ba
02.02.17,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Vật lí,19.750,Nhì
02.03.01,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,14.875,K.Khích
02.03.02,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,20.750,Ba
02.03.03,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,31.000,Nhất
02.03.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,21.250,Ba
02.03.05,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,16.125,K.Khích
02.03.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,25.125,Nhì
02.03.11,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,26.250,Nhì
02.03.13,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,21.000,Ba
02.03.17,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,24.750,Nhì
02.03.19,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,25.250,Nhì
02.03.10,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Hóa học,14.375,K.Khích
02.03.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Hóa học,19.500,Ba
02.03.06,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Hóa học,14.625,K.Khích
